title	is_fake
  rolling    stones    снять    ролик    возвращение    монти    пайтон  	0
  центробанк    минфин    сойтись    оценка    отток    капитал    россия  	0
  ввс    сша    выкупить    армия    вертолёт    black    hawk  	0
  илья    варламов    высоко    оценить    качество    жилищный    строительство    центральный    африка  	1
  рост    цена    газ    семья    штутгарт    прийтись    отказаться    покупка    porsche  	1
  рекордный    цена    газ    германия    закупить    нужда    отопление    тысяча    тонна    российский    рубль  	1
  московский    власть    выбрать    бесплатный    день    музей  	0
  елена    исинбаева    остаться    спортивный    оскар  	0
  найти    древний    землеройный    лазать    деревьям    млекопитающее  	0
  инъекция    вакциной    pfizer    выявить    случай    гомосексуализм  	1
  правительственный    комиссия    дать    exxonmobil    texaco    разрабатывать    месторождение    сахалин  	0
  россиянка    украинка    сыграть    вничью    первый    партия    финал    чм    шахматам  	0
  гнойный    валентин    дядька    осудить    арест    слава    кпсс  	1
  рпц    осудить    романтизация    курение    алкоголь    кино  	0
  российский    атлет    разрешить    выступать    олимпиада    радужный    флаг  	1
  март    москва    премьера    фильм    сокуров    телец  	0
  депутат    предложить    оградить    госдума    укрепрайоном    америка  	1
  вмс    сша    появиться    первый    экипаж    корабль    который    определять    сухопутный    дивизия  	1
  математик    смоделировать    эпилептический    припадок  	0
  овечкин    провести    матч    нхл  	0
  дмитрий    песков    губернатор    воронежский    область    вакцина    колите    плацебо  	1
  льюис    согласиться    повторный    бой    кличко    миллион    фунт  	0
  невезучий    псковский    математик    новый    фабрика    медаль    казак    конфликт    израиль    палестина    также    празднование    май    наш    традиционный    рубрика    панорама    неделя  	1
  роскомнадзор    замедлить    pornhub    отказ    продвигать    российский    контент  	1
  банк    разориться    инвестиция    технология    подать    иск    против    никита    михалков  	1
  северный    корея    обвинить    цру    подделка    доллар  	0
  жириновский    предложить    дать    ремень    создатель    гачимучи    каверов    известный    песня  	1
  tmz    опубликовать    фотосессия    самоубийство    гитлер  	0
  белорусский    колхозы    посоревноваться    право    разместить    свой    территория    ядерный    оружие  	1
  цб    сообщить    усиление    зависимость    рубль    нефть  	0
  ростовский    автоинспектор    прекратить    разводить    водитель    трасса    дон    губернатор    заявить    начало    выполнение    народный    программа    единый    россия  	1
  томский    область    летний    ветеран    попытаться    получить    государство    квартира    скрыть    пребывание    немецкий    плен  	1
  автоматический    система    распознавание    лицо    научиться    распознавать    пьяный    москвич    выписывать    штраф  	1
  ангела    меркель    написать    статья    единство    немецкий    австрийский    народ  	1
  сыграть    бэтмена    актёр    рассказать    свой    пирожковый    диета  	0
  малый    нефтяной    компания    россия    пригрозить    приостановить    производство  	0
  древний    сосуд    вино    продать    sothebys    миллион    доллар  	0
  россиянин    изъять    излишек    бензин    аи  	1
  российский    танцевальный    пара    сняться    чм    фигурный    катание  	0
  россия    сократить    свой    долг    мир    миллиард    доллар  	0
  рамка    декоммунизации    украина    переименуют    сталинки    хрущёвка    брежневки  	1
  британский    школьник    рекомендовать    справочник    детектив  	0
  руссоль    пообещать    допустить    дефицит    соль    санкция  	0
  канадка    начать    тяжба    ассоциация    теннис    сша    падение    раздевалка  	0
  госдума    принять    закон    штраф    автомобилист    предусмотреть    пдд  	1
  штаб    навальный    открыться    сизо    колония  	1
  американец    родиться    придётся    изменить    год    рождение  	1
  банк    русский    стандарт    приостановить    выдача    ипотечный    кредит  	0
  найти    кандидат    скользить    экзопланеты  	0
  факультет    теология    ран    получить    грант    финансирование    эксперимент  	1
  наса    показать    видео    приземление    миссия    марс  	0
  мэйуэзер    провести    последний    неделя    бой    макгрегором    стрип    клуб  	0
  экономист    доказать    несправедливость    серия    пенальти  	0
  антивирус    касперский    защитить    россиянин    чипирования  	1
  специалист    палермо    помочь    москва    бороться    последствие    снегопад  	1
  руина    содом    гоморры    обнаружить    след    пребывание    петров    боширова  	1
  lollipop    chainsaw    стать    самой    успешный    игра    grasshopper    manufacture  	0
  ставропольский    гибдд    признать    нежелательный    организация  	1
  ватикан    отменить    условие    обязывать    папа    римский    католик  	1
  итог    год    наука  	1
  ржд    готовый    купить    пять    процент    немецкий    железнодорожник  	0
  российский    таможня    решить    подать    миллиардный    иск    bank    new    york  	0
  сербия    попросить    россия    ввести    режим    свободный    торговля  	0
  народ    столько    сайт    минцифры    россия    опубликовать    план    сокращение    интернет    ресурсов    четырёх  	1
  тысяча    петербуржец    подписать    петиция    требование    передать    город    управление    сергей    собянин  	1
  эрмитаж    разработать    тайный    маркировка    экспонат  	0
  центробанк    позволить    сбс    агро    расплатиться    долг    решить    отобрать    банковский    лицензия  	0
  путин    готовить    новогодний    подарок    военнослужащий  	0
  лично    руководить    оборона    белый    дом    александр    лукашенко    рассказать    своём    противодействие    путч    гкчп  	1
  американский    компания    выложить    интернет    дешёвый    билет    космос  	0
  гибдд    предупредить    ответственность    несвоевременный    смена    шина    велосипед  	1
  видео    выйти    комедия    пакулы    семейный    жизнь  	0
  госдума    принять    закон    запрет    праздношатание  	1
  квартира    джими    хендрикса    сделать    музей  	0
  ген    определить    шанс    выжить    заражение    вирус    эбола  	0
  англичанин    подарят    вологда    автомобиль    rolls    royce    благодарность    партия    тёплый    зимний    одежда  	1
  донский    казак    пони    отправляться    сша    фестиваль    пониплэй  	1
  индекс    ртс    рухнуть    ниже    пункт  	0
  роскосмос    подписать    договор    сотрудничество    лунный    казачий    войско  	1
  звезда    хранитель    сменить    линдcей    лохан    роль    порнозвезды  	0
  франция    назначить    гомосексуалист    посол    саудовский    аравия  	1
  алексей    пушков    возглавить    новосозданную    кафедра    высмеивание    мгимо  	1
  реальный    доход    россиянин    упасть    семь    процент  	0
  моторола    отказаться    вебтопов  	0
  таможня    пресечь    попытка    ввоз    россия    неосвящённый    автомобиль  	1
  петербургский    вице    губернатор    переехать    строиться    стадион    зенит  	0
  убийца    iphone    скай    линк    поступить    продажа  	0
  кузнецов    первый    россиянка    выйти    финал    roland    garros  	0
  спалетти    поставить    вратарь    итальянский    сампдории    ряд    яшин  	0
  полиция    разыскивать    мошенник    взявших    полмиллиарда    льготный    ипотека  	1
  visa    mastercard    перестать    обслуживать    непривитый    клиент    декабрь  	1
  консультация    поставка    российский    сталь    сша    пройти    сентябрь  	0
  шестой    часть    kingdom    hearts    обойти    сторона    psp    go  	0
  колумб    завещать    америка    московский    князь    ран    обнародовать    сенсационный    документ    первооткрыватель  	1
  аквариум    опубликовать    весь    естественный    альбом    сеть  	0
  взрослый    осы    выращивать    паразит    свой    ребёнок  	0
  атака    бот    штаб    навальный    ввёл    регистрация    митинг    паспорт  	1
  депутат    предложить    запретить    чиновник    лечиться    граница    ответить    уголовный    статья  	1
  глава    минстрой    допустить    субсидирование    первоначальный    взнос    ипотека  	0
  матч    англия    украина    перенести    рим    санкт    петербург  	1
  apple    сутки    ошибка    продавать    россиянин    iphone    вид    iphone  	1
  марат    сафин    удаться    выиграть    уимблдон  	0
  ввс    сша    испытают    бомбардировщик    топливо    уголь  	0
  средство    инвестфонд    потратить    минимум    пять    компания  	0
  минтранс    гибдд    согласовать    требование    будущий    водитель    отечественный    беспилотный    грузовик  	1
  капитолии    найти    удостоверение    офицер    гру  	1
  исполнитель    роль    спока    отказаться    участие    сиквел    звёздный    путь  	0
  германия    решить    закрыть    дело    избить    берлин    российский    боксёр  	0
  семь    россиянка    добиться    победа    старт    us    open  	0
  россия    ввести    уголовный    ответственность    публикация    результат    экзит    поллов    одобрение    цик  	1
  сбербанк    вложиться    производитель    пластина    солнечный    батарея  	0
  цб    рассказать    выводить    миллиард    фирмах    однодневка  	0
  историк    рвио    опровергнуть    причастность    иван    грозный    убийство    сын    обнаружить    британский    след  	1
  генпрокуратура    заинтересоваться    контракт    нефтяник    китай  	0
  президент    opec    благодарить    член    картель    низкий    цена    нефть  	0
  найти    способ    проверить    теория    массивный    гравитация  	0
  фас    встать    сторона    райпо    спор    газпром  	0
  итог    год    сделать  	1
  непонятный    намёк    дмитрий    медведев    призвать    проверить    группа    король    шут    экстремизм  	1
  внесение    красный    книга    дальневосточный    краб    подорожать  	1
  минюст    прокомментировать    отмена    решение    выплата    миллиард    акционер    юкос  	0
  учёный    завершить    черновой    вариант    расшифровка    геном    соя  	0
  siemens    порвать    российский    компания    поставка    газовый    турбина    крым  	0
  банк    попросить    невакцинированных    россиянин    досрочно    погасить    кредит    ипотека  	1
  нам    нужный    безумный    blmщики    мексика    построить    стена    граница    сша  	1
  россия    запретить    целоваться    выпускной  	1
  бузов    пригласить    фанат    встретиться    январь    центр    москва  	1
  акция    aig    обвалиться    несколько    минута    треть  	0
  гарвардский    музей    получить    подарок    миллион    доллар  	0
  samsung    анонсировала    смартфон    разрешение    экран    точек  	0
  навальный    позвонить    элле    памфилов    признаться  	1
  назвать    дата    возвращение    лёд    сидни    кросби  	0
  учёный    сколтеха    срочно    разрабатывать    дешёвый    заменитель    пальмовый    масло  	1
  халк    выйти    тренировка    зенит    перчатка    свой    тёзка    комикс  	0
  сингапурские    учёный    повышение    пенсионный    возраст    способствовать    увеличение    продолжительность    жизнь  	1
  раскрыть    шокировать    число    жертва    насильник    извращенец    голливуд  	0
  репетитор    похвалить    мутко    успех    изучение    английский    язык  	0
  явлинский    призвать    россиянин    особенно    усердствовать    поддержка    яблока    выбор  	1
  кремль    отреагировать    инцидент    турецкий    фанат    матч    динамо  	0
  стюардесса    аэрофлот    будут    проходить    калибратор    каждый    вылет  	1
  песня    слово    нужный    берег    турецкий    стать    новый    гимн    ростуризма  	1
  оренбургский    детдому    присвоить    имя    даня    милохина  	1
  киндер    сюрприз    окрасить    цвет    польша    легко    разделяться    надвое    варшава    запрещать    шоколадный    яйцо  	1
  курорт    краснодарский    край    отдыхать    будут    пускать    чёрный    море    qr    код  	1
  чубайс    суд    добиться    возвращение    дом    свой    дед    центр    москва    национализированного    год  	1
  сша    школьник    попытаться    устроить    масс    шутинг    застрелить    ответный    огонь    одноклассник  	1
  власть    сша    разрешить    лайнер    мечта    полёт  	0
  опк    проиграть    тендер    строительство    фрегат    вмф    россия  	0
  студент    гнесинки    опротестовать    выселение    общежитие    концерт  	0
  детский    мир    лубянка    сменить    название  	0
  фронтмен    blink    выпустить    детский    книжка    космонавт  	0
  год    одном    дом    беларусь    должный    звучать    русский    речь    wikileaks    обнародовать    секретный    протокол    белорусский    оппозиция  	1
  австралийский    кинофонд    основать    стипендия    имя    хит    леджера  	0
  русский    премия    достаться    украинец    киргиз  	0
  усейн    болт    назвать    криштиану    роналду    размазня  	0
  футболист    зенит    включить    команда    неделя    лига    европа  	0
  прививка    astrazeneca    скончаться    кощей    бессмертный  	1
  гтк    признать    нарушитель    антимонопольный    законодательство  	0
  тува    обнаружить    сохраниться    захоронение    скиф  	0
  анастасия    мыскин    выиграть    ролан    гаррос    час  	0
  космодром    восточный    перенести    хабаровск  	1
  любимый    игрок    георгий    ярцев    миллион    фунт    переходить    болтон  	0
  росавиа    отложить    покупка    новый    самолёт  	0
  россия    удовлетворить    весь    военный    запрос    венесуэла  	0
  дрейка    придавить    штанга    рекламный    видео    apple    music  	0
  google    усложнить    капчу    пользователь    штат    проголосовать    трамп  	1
  intel    анонсировала    процессор    atom    медиафонов  	0
  россиянин    мочь    запретить    хранить    дома    тысяча    рубль  	1
  состояться    жеребьёвка    чемпионат    мир    футбол  	0
  бритни    спирс    обвинять    кража    песня  	0
  первый    день    работа    языковой    патруль    оштрафовать    житель    женева    незнание    ретороманский  	1
  саша    барон    коэн    попытаться    расспросить    шварценеггер    гей  	0
  пентагон    признать    неспособность    противостоять    российский    гиперзвуковой    ракета  	0
  выпускник    сделать    прививка    коронавирус    получить    дополнительный    балл    результат    егэ  	1
  дмитрий    медведев    поручить    отпраздновать    двадцатилетие    единый    россия    плохой    китай  	1
  джонсон    крепкий    орешек    bbc    опубликовать    расшифровка    переговоров    российский    военный  	1
  петровский    путевой    дворец    открыть    ко    день    город  	0
  порошенко    возгордиться    кредит    мвф  	0
  рпц    предложить    отмечать    апрель    вознесение    раб    божьего    небесный    твердь  	1
  фбр    выплатить    валерия    тысяча    доллар    информация    график    рабочий    поездка    пригожина  	1
  почта    россия    планировать    увеличить    чистый    прибыль    вдвое  	0
  евгений    касперский    решить    возглавить    лаборатория    имя  	0
  физик    собрать    монополь    дирак    конденсат    бозе    эйнштейн  	0
  улучшение    безопасность    школа    педагогический    должность    занять    сотрудник    росгвардии  	1
  россвязь    поднять    тариф    варп  	1
  дом    котором    находиться    ростовский    квартира    дональд    трамп    признать    аварийный  	1
  мадрид    захоронить    останки    сервантес    спустя    год    смерть  	0
  китай    стать    крупный    экспортёр    берёзы    мир  	1
  небрежный    рисунок    херста    продать    фунт    стерлинг  	0
  захаров    открытие    шенгенский    виза    посольство    просить    россиянин    переводить    деньга    сторонник    алексей    навальный  	1
  фк    москва    купить    форвард    барселона  	0
  фильм    тлетворный    влияние    езда    харлей  	0
  чиновник    разрешить    открывать    новый    пифы  	0
  россиянин    будут    добывать    гелий    луна  	0
  болт    включить    состав    сборная    ямайка    московский    чм    лёгкий    атлетика  	0
  аргентинец    напасть    футбольный    судья    пробить    голова  	0
  forbes    опубликовать    рейтинг    хороший    российский    бренд  	0
  департамент    здравоохранение    москва    переболеть    коронавирус    полугода    назад    нужный    переболеть    повторно  	1
  выбор    президент    год    впервые    история    сша    провести    частный    компания  	1
  обнаружить    аномалия    расширение    вселенная  	0
  техасская    резня    бензопила    возглавить    североамериканский    кинопрокат  	0
  американский    инвестор    потерять    интерес    ветряный    энергетика  	0
  задержать    пранкер    который    организовать    колонна    бюджетник    митинг    освобождение    навальный  	1
  prince    persia    поставить    пауза  	0
  роскосмос    проиграть    тендер    межевание    луна    малоизвестный    компания    нарьян    мара  	1
  американец    получить    пожизненных    срок    изнасилование    произойти    год    назад  	1
  пригожин    предречь    провокация    евровидении    киев  	0
  евровидение    передумать    устраивать    иерусалим    скандал  	0
  среди    вакцинировать    россиянин    разыграть    десять    место    совет    федерация  	1
  cемью    рогозин    заметить    список    купить    билет    unity  	1
  барселона    подтвердить    договорённость    месси    новый    контракт  	0
  вдова    ролана    быков    выиграть    иск    против    издатель  	0
  участник    чм    отгородятся    россиянин    шестиметровый    забор  	0
  вернуться    посол    сша    поселить    километр    москва  	1
  синьхуа    китай    обдумывать    возможность    открыться    благодаря    остановка    транссиба  	1
  посол    россия    начать    раздавать    борщ    гречка    протестовать    капитолий    американец  	1
  th    century    fox    помощь    спецэффект    удалить    дональд    трамп    фильм    дом  	1
  россия    запретить    продавать    автомобиль    пробег    тысяча    км  	1
  назвать    причина    массовый    гибель    древний    цивилизация  	0
  наталья    орейро    сыграть    главный    роль    новый    сезон    тайн    следствие  	1
  монеточке    присвоить    звание    народный    артистка    россия  	1
  вектор    объявить    начало    испытание    вакцина    против    феминизм  	1
  петербург    запретить    показ    фильм    усатый    нянь  	1
  китаец    излечить    гомосексуализм    благодаря    технология    стать    отец  	1
  американский    прокат    возглавить    заражение  	0
  место    весь    блогер    лефортово    общественный    палата    предостеречь    необдуманный    регистрация    портал    youtube  	1
  россия    запретить    зимний    рыбалка    qr    код  	1
  таксист    запретить    повышать    цена    новогодний    ночь  	1
  роберто    баджо    получить    работа    федерация    футбол    италия  	0
  задержать    наркоторговлю    сын    пеле    оправдать    дело    убийство  	0
  трамп    представить    участник    штурм    капитолий    государственный    наградам  	1
  москва    передать    старый    склад    боеприпас    евросоюз  	1
  deep    purple    осень    отправиться    концертный    турне    россия  	0
  патриарх    кирилл    российский    народ    обеспечить    всем    кроме    самого    главный    госидеологии  	1
  газпром    получить    миллиард    рубль    акция    свой    конкурент  	0
  майк    тайсона    весь    мир    спасать    банкротство  	0
  день    космонавтика    золотой    кольцо    вместо    турция    подготовка    легендарный    отварный    сосиска    наш    еженедельный    рубрика    панорама    неделя  	1
  здание    венерологический    лечебница    лечиться    есенин    признать    объект    культурный    наследие  	1
  десять    португальский    клуб    обязать    взять    состав    китайский    футболист  	0
  светлана    тихановская    переизбрать    пост    президент    беларусь  	1
  россия    выдать    белоруссия    кредит    отрицательный    ставка  	1
  алексей    навальный    выступить    генассамблея    оон    представитель    германия  	1
  роскомнадзор    объяснить    блокировка    сайт    навальный    низкий    посещаемость  	1
  иена    установить    послевоенный    рекорд    доллар  	0
  борьба    здоровый    грудь    включиться    розовый    фотоаппарат    polaroid  	0
  роскосмос    построить    первый    мир    орбитальный    завод    сжигание    космический    мусор  	1
  американский    ассоциация    пилот    гей    запретить    свой    член    выполнять    рейс    россия  	1
  январь    россия    запретить    самогонный    аппарат  	1
  холод    великобритания    участиться    случай    отравление    антифриз  	1
  обладатель    кубок    гагарин    вернуться    московский    динамо  	0
  суд    сша    приостановить    рассмотрение    иск    бывший    акционер    юкос    россия  	0
  отечественный    аналог    adobe    flash    player    получить    имя    зарево  	1
  sun    сообщить    план    наградить    камбербэтча    орден    британский    империя  	0
  билет    тысяча    студент    предъявить    вход    пушкинский    карта    избить    охрана    московский    театр  	1
  расследование    аппаратный    защита    майнинга    превратить    ваш    rtx    gtx  	1
  священников    рпц    мочь    лишить    неприкосновенность  	1
  россельхознадзор    разрешить    импорт    чёрный    икра    иран  	0
  власть    дания    проводить    проверка    законность    продажа    lego    bionicle    владимир    соловьёв  	1
  уефа    наказать    днепр    болельщик    расист  	0
  футболист    камерун    прибыть    бразилия    девушка    лёгкий    поведение  	0
  съёмка    третий    пират    карибский    море    завершиться    март    год  	0
  владивосток    ошибка    показать    новогодний    поздравление    президент    год  	1
  огненный    шоколад    заинтересовать    российский    орган    власть  	0
  главный    тренер    швед    назвать    игра    акинфеева    чудо  	0
  норвежский    олимпиец    отдать    свой    призовые    пенсионер  	1
  цель    защита    свой    гигант    сша    ввести    санкция    против    mailru    group  	1
  сша    оставить    афганистан    тысяча    военнослужащий    охрана    маковый    плантация  	1
  ук    мочь    появиться    наказание    занятие    незаконный    оппозиционный    деятельность  	1
  футболист    ливерпуль    перейти    зенит  	0
  фсин    преобразуют    рослаг  	1
  пресный    вода    крым    закупить    израиль  	1
  иран    новость    возможный    снятие    санкция    отметить    ракетный    салют    сторона    израиль  	1
  цифровой    прогресс    пристыковался    мкс  	0
  участник    sonic    youth    led    zeppelin    записать    композиция    танцевальный    постановка  	0
  обама    пожаловаться    коррупция    мок    фифа  	0
  год    выпустить    миллион    iphone  	0
  гражданский    кодекс    появиться    статья    регламентировать    понятийный    отношение    человек  	1
  брянск    полицейский    перепутать    протестовать    светлячок  	1
  ждать    премия    год    михаил    горбачёв    посоветовать    навальный    расстраиваться  	1
  ратко    младич    однажды    рассказать    шойгу    помощь    баржа    десяток    мусульманин    устроить    серб    праздник    долго    хохотать  	1
  газпром    начать    строительство    морской    участок    турецкий    поток  	0
  основатель    ренессанс    капитал    вернуться    управление    крупный    инвестбанком    россия  	0
  барселона    дать    бекхэму    неделя    раздумье  	0
  россия    создать    палестинский    автономный    область  	1
  ес    разыскивать    пранкеров    организовать    выступление    европарламент    российский    актёра    вид    канцлер    фрг  	1
  полицейский    спасти    москвич    заблудиться    метро    екатеринбург  	1
  бобслеистку    ирина    скворцову    выписать    реанимация  	0
  роль    дед    мороз    снегурочка    главный    кремлёвский    ёлка    исполнить    виктор    янукович    ангела    меркель  	1
  манежный    площадь    перекрыть    апрель    подготовка    празднование    день    рождение    ленин  	1
  марат    измайлов    приехать    сборная    россия  	0
  овечкин    прервать    затяжной    безголевую    серия  	0
  рамка    акция    сохранить    лес    активист    высадить    деревьев    редкий    порода    дача    прокурор    район  	1
  физик    управлять    квантовый    симметрия    двухслойный    графена  	0
  навальный    пообещать    ввести    санкция    против    блинкена    встреча    лавров  	1
  посещение    рублёвка    немецкий    политик    раскритиковать    низкий    зарплата    чиновник    германия  	1
  актёр    валерий    гаркалина    избить    москва  	0
  тайсона    фьюри    оштрафовать    оскорбление    соперник  	0
  россия    ввести    налог    переселение    город    миллионник  	1
  данные    система    эра    глонасс    помочь    выписать    штраф    неправильный    парковка    млрд    рубль    год  	1
  кострома    жених    уйти    загс    узнать    невеста    вакцинировать  	1
  сколково    вывести    попугай    выкрикивающего    патриотический    лозунг  	1
  банк    венесуэла    разрешить    обращение    чёрно    белый    копия    деньга  	1
  минэкономразвития    назначить    директор    госмонополий  	0
  вызвать    мид    россия    посол    колумбия    задержать    тайник    кокаин  	1
  официальный    курс    евро    упасть    рубль  	0
  фсин    помочь    решить    проблема    дефицит    школьный    педагог  	1
  юлия    навальная    стать    преемница    меркель    пост    канцлер    фрг  	1
  минпросвещения    добавить    урок    мужество    школьный    программа    обж  	1
  ягра    признать    хороший    форвард    неделя  	0
  неудержимые    сохранить    лидерство    российский    прокат  	0
  queen    выступить    новый    вокалист    москва  	0
  грета    тунберг    техас    лишь    начало    скоро    навсегда    забыть    глобальный    потепление  	1
  путин    показать    запись    посадка    американский    марсоход    выдать    её    высадка    российский    десантник    сирия  	1
  китай    подготовить    ответный    удар    торговый    война    сша  	0
  горан    иванишевич    уходить    теннис    вслед    сампрасом  	0
  российский    олимпиец    просить    наказывать    майор    елена    исинбаеву    сон    пост  	1
  wada    напомнить    жёсткий    санкция    против    россия  	0
  ход    кампания    борьба    мусор    самарский    коммунальщик    снести    казачий    станица  	1
  назвать    причина    чернобыльский    катастрофа  	0
  сообщение    коррупция    чиновник    приравняют    госизмене  	1
  рядовой    шойгу    пожаловаться    дискриминация    фамилия    назначить    министр    оборона    тува  	1
  поставщик    apple    раскрыть    сумма    штраф    утечка    данных    iphone    ipad  	0
  черчесов    вызвать    ольга    бузову    сборная    россия  	1
  курс    доллар    превысить    рублей  	0
  школьница    прикоснуться    зарядка    iphone    сон    умереть  	0
  рашкин    отказаться    прохождение    днк    тест    рамка    дело    убийство    беременный    лосиха  	1
  rolling    stones    сыграть    бесплатный    концерт    голливуд  	0
  хороший    поёт    лукашенко    предложить    отправить    роман    протасевича    евровидение  	1
  хабаровский    зоопарк    рысь    обматерить    посетитель  	1
  секонд    хэнд    остаться    бутик  	0
  русский    националист    стать    российский  	1
  новосибирск    ввести    чрезвычайный    положение    начало    таяние    снег  	1
  стать    известный    результат    поиск    таинственный    тип    нейтрино  	0
  российский    изобретатель    обязать    регистрировать    международный    патент    государство  	1
  россия    отказаться    интернет    сбой    работа  	1
